鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段1261~1290號,5.34,住,,,1081005,土地1建物1車位1,五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990112,92.08,1,1,1,有,有,6300000,68419.0,坡道機械,13.86,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPUPMLMKKIOFFCB18CA
西屯區,房地(土地+建物)+車位,臺中市西屯區漢翔路331~360號,31.05,住,,,1081010,土地3建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,286.2,3,2,2,有,有,23000000,89035.0,坡道平面,61.57,3000000,,RPUNMLKLKIOFFCB87CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩六街211~240號,11.98,住,,,1081013,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820112,76.68,2,1,1,有,有,5650000,73683.0,坡道機械,0.0,0,,RPSOMLLLKIOFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區永福路31~60號,13.38,住,,,1081026,土地2建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830106,127.74,3,2,2,有,有,7150000,55973.0,坡道機械,0.0,0,,RPTQMLPLKIOFFCB58CA
南屯區,房地(土地+建物),臺中市南屯區文心路一段211~240號,9.36,住,,,1081110,土地1建物1車位0,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841024,143.28,4,2,2,有,有,7900000,55137.0,,0.0,0,,RPVPMLQLKIOFFCB78CA
潭子區,房地(土地+建物)+車位,臺中市潭子區中山路一段1~30號,11.56,住,,,1081011,土地1建物1車位2,十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831205,155.11,3,2,2,有,有,7100000,45774.0,坡道機械,0.0,0,,RPROMLPJKIOFFHB48CA
豐原區,房地(土地+建物),臺中市豐原區中正路695巷1~30號,10.98,住,,,1081105,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820208,97.72,3,2,2,有,有,3580000,36635.0,,0.0,0,,RPPOMLPJKIOFFDB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段601~630號,37.61,住,,,1080904,土地1建物1車位2,十七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808,320.0,3,2,3,有,有,27530000,86031.0,坡道平面,52.28,0,,RPPNMLMJJHPFFCB27CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段691~720號,10.38,商,,,1081013,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980914,117.97,2,1,1,有,有,9300000,89654.0,坡道平面,33.21,1700000,,RPWOMLPLKIOFFCB68CA
西屯區,房地(土地+建物)+車位,臺中市西屯區皇城街1~30號,29.29,住,,,1081103,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961226,185.31,4,2,2,有,有,9750000,52615.0,坡道平面,0.0,0,,RPPQMLNLKIOFFCB97CA
南屯區,房地(土地+建物),臺中市南屯區大墩路691~720號,11.34,商,,,1081118,土地1建物1車位0,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840519,106.09,3,2,1,有,有,7600000,71637.0,,0.0,0,含增建或未登記建物。;,RPOOMLMKKIOFFCB47CA
